"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,16,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,15,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,15,,
"HUN","Hungary","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,15,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,43.0678,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,42.6592,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,43.9984,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,42.008,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,41.0368,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,38.2208,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,35.2512,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,34.2912,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,34.2912,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,39.552,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,44.2752,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,44.3616,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,44.3904,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,44.3712,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,44.3904,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,44.3904,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,44.399998,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,44.3904,,
"ISL","Iceland","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,44.3904,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,46,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,44,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,44,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,44,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,44,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,44,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,44,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,43.5,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,43.5,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,50.17,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,52,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,48,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,48,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,48,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,48,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,48,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,48,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,48,,
"IRL","Ireland","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,48,,
"ITA","Italy","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,46.4,,
"ITA","Italy","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,45.9,,
"ITA","Italy","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,41.40241,,
"ITA","Italy","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,41.40241,,
"ITA","Italy","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,41.40241,,
"ITA","Italy","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,44.1,,
"ITA","Italy","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,44.6,,
"ITA","Italy","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,40.18999,,
"ITA","Italy","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,40.18999,,
"ITA","Italy","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,40.18999,,
