"province_state","country_region","lat","long","date","cases","deaths","date_upd","is_country"
NA,"Algeria",28.0339,1.6596,"3/19/20",87,9,2020-03-19,TRUE
NA,"Algeria",28.0339,1.6596,"3/20/20",90,11,2020-03-20,TRUE
NA,"Algeria",28.0339,1.6596,"3/21/20",139,15,2020-03-21,TRUE
NA,"Algeria",28.0339,1.6596,"3/22/20",201,17,2020-03-22,TRUE
NA,"Algeria",28.0339,1.6596,"3/23/20",230,17,2020-03-23,TRUE
NA,"Algeria",28.0339,1.6596,"3/24/20",264,19,2020-03-24,TRUE
NA,"Algeria",28.0339,1.6596,"3/25/20",302,21,2020-03-25,TRUE
NA,"Algeria",28.0339,1.6596,"3/26/20",367,25,2020-03-26,TRUE
NA,"Algeria",28.0339,1.6596,"3/27/20",409,26,2020-03-27,TRUE
NA,"Algeria",28.0339,1.6596,"3/28/20",454,29,2020-03-28,TRUE
NA,"Algeria",28.0339,1.6596,"3/29/20",511,31,2020-03-29,TRUE
NA,"Algeria",28.0339,1.6596,"3/30/20",584,35,2020-03-30,TRUE
NA,"Algeria",28.0339,1.6596,"3/31/20",716,44,2020-03-31,TRUE
NA,"Algeria",28.0339,1.6596,"4/1/20",847,58,2020-04-01,TRUE
NA,"Algeria",28.0339,1.6596,"4/2/20",986,86,2020-04-02,TRUE
NA,"Algeria",28.0339,1.6596,"4/3/20",1171,105,2020-04-03,TRUE
NA,"Algeria",28.0339,1.6596,"4/4/20",1251,130,2020-04-04,TRUE
NA,"Algeria",28.0339,1.6596,"4/5/20",1320,152,2020-04-05,TRUE
NA,"Algeria",28.0339,1.6596,"4/6/20",1423,173,2020-04-06,TRUE
NA,"Algeria",28.0339,1.6596,"4/7/20",1468,193,2020-04-07,TRUE
NA,"Algeria",28.0339,1.6596,"4/8/20",1572,205,2020-04-08,TRUE
NA,"Algeria",28.0339,1.6596,"4/9/20",1666,235,2020-04-09,TRUE
NA,"Algeria",28.0339,1.6596,"4/10/20",1761,256,2020-04-10,TRUE
NA,"Algeria",28.0339,1.6596,"4/11/20",1825,275,2020-04-11,TRUE
NA,"Algeria",28.0339,1.6596,"4/12/20",1914,293,2020-04-12,TRUE
NA,"Algeria",28.0339,1.6596,"4/13/20",1983,313,2020-04-13,TRUE
NA,"Algeria",28.0339,1.6596,"4/14/20",2070,326,2020-04-14,TRUE
NA,"Algeria",28.0339,1.6596,"4/15/20",2160,336,2020-04-15,TRUE
NA,"Andorra",42.5063,1.5218,"1/22/20",0,0,2020-01-22,TRUE
NA,"Andorra",42.5063,1.5218,"1/23/20",0,0,2020-01-23,TRUE
NA,"Andorra",42.5063,1.5218,"1/24/20",0,0,2020-01-24,TRUE
NA,"Andorra",42.5063,1.5218,"1/25/20",0,0,2020-01-25,TRUE
NA,"Andorra",42.5063,1.5218,"1/26/20",0,0,2020-01-26,TRUE
NA,"Andorra",42.5063,1.5218,"1/27/20",0,0,2020-01-27,TRUE
NA,"Andorra",42.5063,1.5218,"1/28/20",0,0,2020-01-28,TRUE
NA,"Andorra",42.5063,1.5218,"1/29/20",0,0,2020-01-29,TRUE
NA,"Andorra",42.5063,1.5218,"1/30/20",0,0,2020-01-30,TRUE
NA,"Andorra",42.5063,1.5218,"1/31/20",0,0,2020-01-31,TRUE
NA,"Andorra",42.5063,1.5218,"2/1/20",0,0,2020-02-01,TRUE
NA,"Andorra",42.5063,1.5218,"2/2/20",0,0,2020-02-02,TRUE
NA,"Andorra",42.5063,1.5218,"2/3/20",0,0,2020-02-03,TRUE
NA,"Andorra",42.5063,1.5218,"2/4/20",0,0,2020-02-04,TRUE
NA,"Andorra",42.5063,1.5218,"2/5/20",0,0,2020-02-05,TRUE
NA,"Andorra",42.5063,1.5218,"2/6/20",0,0,2020-02-06,TRUE
NA,"Andorra",42.5063,1.5218,"2/7/20",0,0,2020-02-07,TRUE
NA,"Andorra",42.5063,1.5218,"2/8/20",0,0,2020-02-08,TRUE
NA,"Andorra",42.5063,1.5218,"2/9/20",0,0,2020-02-09,TRUE
NA,"Andorra",42.5063,1.5218,"2/10/20",0,0,2020-02-10,TRUE
NA,"Andorra",42.5063,1.5218,"2/11/20",0,0,2020-02-11,TRUE
NA,"Andorra",42.5063,1.5218,"2/12/20",0,0,2020-02-12,TRUE
NA,"Andorra",42.5063,1.5218,"2/13/20",0,0,2020-02-13,TRUE
NA,"Andorra",42.5063,1.5218,"2/14/20",0,0,2020-02-14,TRUE
NA,"Andorra",42.5063,1.5218,"2/15/20",0,0,2020-02-15,TRUE
NA,"Andorra",42.5063,1.5218,"2/16/20",0,0,2020-02-16,TRUE
NA,"Andorra",42.5063,1.5218,"2/17/20",0,0,2020-02-17,TRUE
NA,"Andorra",42.5063,1.5218,"2/18/20",0,0,2020-02-18,TRUE
NA,"Andorra",42.5063,1.5218,"2/19/20",0,0,2020-02-19,TRUE
NA,"Andorra",42.5063,1.5218,"2/20/20",0,0,2020-02-20,TRUE
NA,"Andorra",42.5063,1.5218,"2/21/20",0,0,2020-02-21,TRUE
NA,"Andorra",42.5063,1.5218,"2/22/20",0,0,2020-02-22,TRUE
NA,"Andorra",42.5063,1.5218,"2/23/20",0,0,2020-02-23,TRUE
NA,"Andorra",42.5063,1.5218,"2/24/20",0,0,2020-02-24,TRUE
NA,"Andorra",42.5063,1.5218,"2/25/20",0,0,2020-02-25,TRUE
NA,"Andorra",42.5063,1.5218,"2/26/20",0,0,2020-02-26,TRUE
NA,"Andorra",42.5063,1.5218,"2/27/20",0,0,2020-02-27,TRUE
NA,"Andorra",42.5063,1.5218,"2/28/20",0,0,2020-02-28,TRUE
NA,"Andorra",42.5063,1.5218,"2/29/20",0,0,2020-02-29,TRUE
NA,"Andorra",42.5063,1.5218,"3/1/20",0,0,2020-03-01,TRUE
NA,"Andorra",42.5063,1.5218,"3/2/20",1,0,2020-03-02,TRUE
NA,"Andorra",42.5063,1.5218,"3/3/20",1,0,2020-03-03,TRUE
NA,"Andorra",42.5063,1.5218,"3/4/20",1,0,2020-03-04,TRUE
NA,"Andorra",42.5063,1.5218,"3/5/20",1,0,2020-03-05,TRUE
NA,"Andorra",42.5063,1.5218,"3/6/20",1,0,2020-03-06,TRUE
NA,"Andorra",42.5063,1.5218,"3/7/20",1,0,2020-03-07,TRUE
NA,"Andorra",42.5063,1.5218,"3/8/20",1,0,2020-03-08,TRUE
NA,"Andorra",42.5063,1.5218,"3/9/20",1,0,2020-03-09,TRUE
NA,"Andorra",42.5063,1.5218,"3/10/20",1,0,2020-03-10,TRUE
NA,"Andorra",42.5063,1.5218,"3/11/20",1,0,2020-03-11,TRUE
NA,"Andorra",42.5063,1.5218,"3/12/20",1,0,2020-03-12,TRUE
NA,"Andorra",42.5063,1.5218,"3/13/20",1,0,2020-03-13,TRUE
NA,"Andorra",42.5063,1.5218,"3/14/20",1,0,2020-03-14,TRUE
NA,"Andorra",42.5063,1.5218,"3/15/20",1,0,2020-03-15,TRUE
NA,"Andorra",42.5063,1.5218,"3/16/20",2,0,2020-03-16,TRUE
NA,"Andorra",42.5063,1.5218,"3/17/20",39,0,2020-03-17,TRUE
NA,"Andorra",42.5063,1.5218,"3/18/20",39,0,2020-03-18,TRUE
NA,"Andorra",42.5063,1.5218,"3/19/20",53,0,2020-03-19,TRUE
NA,"Andorra",42.5063,1.5218,"3/20/20",75,0,2020-03-20,TRUE
NA,"Andorra",42.5063,1.5218,"3/21/20",88,0,2020-03-21,TRUE
NA,"Andorra",42.5063,1.5218,"3/22/20",113,1,2020-03-22,TRUE
NA,"Andorra",42.5063,1.5218,"3/23/20",133,1,2020-03-23,TRUE
NA,"Andorra",42.5063,1.5218,"3/24/20",164,1,2020-03-24,TRUE
NA,"Andorra",42.5063,1.5218,"3/25/20",188,1,2020-03-25,TRUE
NA,"Andorra",42.5063,1.5218,"3/26/20",224,3,2020-03-26,TRUE
NA,"Andorra",42.5063,1.5218,"3/27/20",267,3,2020-03-27,TRUE
NA,"Andorra",42.5063,1.5218,"3/28/20",308,3,2020-03-28,TRUE
NA,"Andorra",42.5063,1.5218,"3/29/20",334,6,2020-03-29,TRUE
